city_key,zones,sources,assignments
ragama,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
ranala,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
rukmale,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
seeduwa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
siddamulla,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
siyambalape,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
talahena,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
thimbirigaskatuwa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
trincomalee,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
vannarponnai,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
vavuniya,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
watareka,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
wattala,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
weboda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
