company_code,service_category,country,city,zone_code,source_file
#CR0001,domestic,LK,Bentota,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Beruwala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bingiriya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bogamulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bokalagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bolossagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bombuwala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Boossa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bopagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bopagoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bope,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bopitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Boralugoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Boraluwewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Boyagane,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bujjampola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Bujjomuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Buluwala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Buthpitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Chenkaladi,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Chilaw,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Chinabay,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Chundikuli,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Chunnakam,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dagonna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dambadeniya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dambulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Damminna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Damunupola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dankotuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Danowita,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Danture,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Daraluwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dedigamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Deegalla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dehiowita,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dekatana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Delgoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Deltara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Delwagura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Delwite,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Demataluwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Demodara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Denipitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dewahuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dewalapola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dewanagala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dharga Town,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Diddeniya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Digannewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dikoya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dikwella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dimbulagala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Divulankadawala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Divuldamana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Divullegoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Diyabeduma,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Diyagaha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Diyasenpura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dodanduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dodangaslanda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dodangoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dompe,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Doratiyawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Dummalasuriya,C,Domestic Zone List.pdf
